faiss_row,logical_product_id,chunk_source,token_count,chunk_text
10,P0006,description,212,"Name: 3C Color Correcting Concealer Palette
Brand: NYX Professional Makeup
Category: Color Correcting
Description: Conscious Beauty at Ulta BeautyTM Cruelty Free Give Back Wake up your face with the NYX Professional Makeup Color Correcting Concealer palette in six customizable, buildable & lightweight color correcting shades. Details Benefits Travel friendly color correcting concealer palette Lightweight, non-creasing formula glides on for an ultra-smooth finish Leaves skin feeling soft and supple Includes six buildable shades to cover up problem spots, even out imperfections & accentuate your best features Layer and blend to cover and conceal redness, blue tones, bruising, dark circles and yellowness Suitable for all skin tones and types Cruelty free How To Use Pick up desired amount of product with a clean finger or brush and apply to complexion or under eyes."
11,P0006,platform_summary,128,"Name: 3C Color Correcting Concealer Palette
Brand: NYX Professional Makeup
Category: Color Correcting
Pros: flattering/good shade match, good/buildable coverage, smooth/creamy texture, good value/affordable, blends easily, easy to apply/use, long-lasting wear, strong pigmentation/color payoff
Cons: creases/settles into lines, causes irritation/burning, difficult to blend, heavy/thick feel
Best uses: alone instead of foundation, everyday wear, under-eye dark circles/brightening"
12,P0007,description,512,"Name: 4-in-1 Correcting Primer Anti Blemish & Mattify
Brand: PÜR
Category: Face Primer
Description: Conscious Beauty at Ulta BeautyTM Vegan Clean Ingredients Cruelty Free Give Back PÜR 4-in-1 Correcting Primer Anti Blemish & Mattify instantly blurs the look of imperfections while addressing breakouts and controlling shine with skin-nourishing ingredients. Details Benefits Key Ingredients Formulated Without Helps skin control shine for a matte look, finish. Skincare-infused primer formula helps treat acne breakouts immediately and with continued use. Charcoal-colored formula blends to translucent upon application that can be worn every day, with or without makeup to help control shine and breakouts. Minimizes the appearance of pores by helping clear pores of dirt and oil. Addresses the appearance of fine lines & wrinkles. Salicylic Acid and Beta Hydroxy Acids help to gently exfoliate skin and address breakouts for a clearer-looking complexion. Charcoal's antibacterial properties help draw out pore-clogging oil, dirt and impurities for brighter looking skin. Powered by PÜR's proprietary Ceretin Complex, non-irritating Encapsulated Retinol, Lactic Acid, Shea Butter, and Ceramides, this primer gently promotes cell turnover while diminishing the look of fine lines, wrinkles, and discoloration for a brighter-looking, smoother skin tone and texture. This gentle time-released formula can be used both day and night. Nourishing Shea Butter helps condition and moisturize the skin. A complexion-boosting blend of invigorating ingredients like Green Tea, Ginseng, and Vitamin B help address signs of premature aging while stimulating and renewing the skin's appearance. Lingonberry Extract helps protect the skin from environmental stressors, like pollution and damage caused by high energy blue light. Polysaccharide Film provides a protective, breathable barrier to help shield skin from environmental stressors like pollution. BPA Fragrance Gluten Mineral Oil Parabens Phthalate Sulfates How To Use Cleanse the skin thoroughly before applying the product. For New Users"
13,P0007,description,186,"Name: 4-in-1 Correcting Primer Anti Blemish & Mattify
Brand: PÜR
Category: Face Primer
. Polysaccharide Film provides a protective, breathable barrier to help shield skin from environmental stressors like pollution. BPA Fragrance Gluten Mineral Oil Parabens Phthalate Sulfates How To Use Cleanse the skin thoroughly before applying the product. For New Users: Apply product to a small area once a day for three days to test if you are sensitive to this product. If no discomfort occurs, cover the entire affected area with a thin layer. Start with only one application daily, then gradually increase to two or three times daily, if needed. If dryness or peeling occurs, reduce application to once a day or every other day. Keep carton for additional directions and warning information."
14,P0007,platform_summary,100,"Name: 4-in-1 Correcting Primer Anti Blemish & Mattify
Brand: PÜR
Category: Face Primer
Pros: smooth/creamy texture, hydrating/non-drying
Cons: can cause breakouts, drying/emphasizes dry patches, causes irritation/burning, too expensive/poor value
Best uses: oily skin, acne-prone skin, travel/on-the-go touch-ups"
15,P0008,description,375,"Name: 4-in-1 Correcting Primer Dark Spot Corrector
Brand: PÜR
Category: Face Primer
Description: Conscious Beauty at Ulta BeautyTM Vegan Clean Ingredients Cruelty Free Give Back PÜR Dark Spot Corrector Primer helps neutralize dark spots, discoloration, diminishes the appearance of fine lines and wrinkles, helping makeup wear longer. Details Benefits Key Ingredients Formulated Without 4 benefits in 1: makeup primer, pore reducer, color corrector, evens skin tone. Color-correcting peach primer formula instantly helps neutralize dark spots, hyperpigmentation, and discoloration for an even skin tone. Minimizes the appearance of pores. Blurs the appearance of fine lines and wrinkles. Silky smooth texture helps smooth and even skin tone and texture. Skin-loving makeup primer formula helps makeup wear longer. Skincare-infused primer formula helps to reduce the appearance of dark circles, dark spots, freckles, hyperpigmentation, fine lines and wrinkles and skin imperfections. Powered by PÜR's proprietary Ceretin Complex, non-irritating Encapsulated Retinol, Lactic Acid, Shea Butter, and Ceramides gently promote cell turnover while helping to diminish the look of fine lines, wrinkles, and discoloration for a brighter, smoother skin tone and texture. This gentle time-released formula can be used both day and night. Nourishing Shea Butter helps condition and moisturize the skin. BPA Fragrance Gluten Mineral Oil Parabens Phthalate Sulfates How To Use Smooth onto clean, moisturized skin. Allow to dry, then follow with your favorite foundation."
16,P0008,platform_summary,126,"Name: 4-in-1 Correcting Primer Dark Spot Corrector
Brand: PÜR
Category: Face Primer
Pros: smooth/creamy texture, easy to apply/use, glowy/radiant finish, matte finish/oil control, strong pigmentation/color payoff
Cons: difficult to blend, cakey finish, creases/settles into lines, drying/emphasizes dry patches, patchy/streaky finish
Best uses: covering blemishes/dark spots, under foundation/makeup, under-eye dark circles/brightening"
17,P0009,description,443,"Name: 4-in-1 Correcting Primer Energize & Rescue
Brand: PÜR
Category: Face Primer
Description: Conscious Beauty at Ulta BeautyTM Vegan Clean Ingredients Cruelty Free Give Back PÜR 4-in-1 Correcting Primer Energize & Rescue powered by probiotics and skincare ingredients to help energize dull, tired skin, and restore balance to skin's natural microbiome. Details Benefits Key Ingredients Formulated Without 4 benefits in 1: makeup primer, redness reducer, pore reducer, skin soother. Helps improve the look of tired, dull skin. Helps soothe and reduce redness. Minimizes the appearance of pores. Addresses the appearance of fine lines & wrinkles. Lightweight serum-like primer texture helps hydrate, smooth uneven skin tone and texture. Can be worn every day with or without makeup. Skincare-infused primer formula helps to reduce the appearance of dark circles, redness, fine lines & wrinkles, uneven skin tone, and hyperpigmentation. Helps improve skin health by helping restore balance to the skin's microbiome. Powered by PÜR's proprietary Ceretin Complex, non-irritating Encapsulated Retinol, Lactic Acid, Shea Butter, and Ceramides gently promote cell turnover while helping to diminish the look of fine lines, wrinkles, and discoloration for a brighter, smoother-looking skin tone and texture. This gentle time-released formula can be used both day and night. Nourishing Shea Butter helps condition and moisturize the skin. Probiotics help restore balance to the skin's natural microbiome. Plant-powered Squalane hydrates and softens the skin. Coconut Water helps increase skin hydration. BPA Fragrance Gluten Silicones Mineral Oil Parabens Phthalate Sulfates How To Use Smooth on to skin and let dry. Can be worn alone or under makeup."
18,P0009,platform_summary,156,"Name: 4-in-1 Correcting Primer Energize & Rescue
Brand: PÜR
Category: Face Primer
Pros: gentle/non-irritating, smooth/creamy texture, glowy/radiant finish, long-lasting wear, hydrating/non-drying, natural-looking finish, convenient packaging/applicator, good/buildable coverage, lightweight feel
Cons: causes irritation/burning, can cause breakouts
Best uses: everyday wear, under foundation/makeup, acne-prone skin, alone instead of foundation, combination skin, dry skin, cheeks/blush, covering blemishes/dark spots, humid/hot weather, long-wear events"
19,P0010,description,422,"Name: 4-in-1 Correcting Primer Redness Reducer
Brand: PÜR
Category: Face Primer
Description: Conscious Beauty at Ulta BeautyTM Vegan Clean Ingredients Cruelty Free Give Back PÜR 4-in-1 Correcting Primer Redness Reducer helps neutralize redness and discoloration, softens the appearance of fine lines and wrinkles, helps makeup wear longer. Details Benefits Key Ingredients Formulated Without 4 benefits in 1: makeup primer, redness reducer, color corrector, evens skin tone. Skincare-infused primer formula helps to reduce the appearance of redness, dark circles, fine lines, and uneven skin tone. Color-correcting green hue primer formula instantly neutralizes redness and the appearance of discoloration. Minimizes the appearance of pores. Helps reduce the appearance of fine lines & wrinkles. Helps smooth and even skin tone & texture. Helps makeup wear longer. 94% said this primer smooths evenly onto skin and provides a silky-smooth finish.* 94% saw instantly reduced appearance of redness.* 91% said this primer preps skin for better makeup application.* *Based on an in-house perception study. Powered by PÜR's proprietary Ceretin Complex, non-irritating Encapsulated Retinol, Lactic Acid, Shea Butter, and Ceramides gently promote cell turnover while helping to diminish the look of fine lines, wrinkles, and discoloration for a brighter, smoother-looking skin tone and texture. This gentle time-released formula can be used both day and night. Nourishing Shea Butter helps condition and moisturize the skin. BPA Fragrance Gluten Mineral Oil Parabens Phthalate Sulfates How To Use Smooth onto clean, moisturized skin. Allow to dry, then follow with your favorite foundation."
20,P0010,platform_summary,118,"Name: 4-in-1 Correcting Primer Redness Reducer
Brand: PÜR
Category: Face Primer
Pros: hydrating/non-drying, blends easily, gentle/non-irritating, good value/affordable, smooth/creamy texture
Cons: causes irritation/burning, smudges/transfers/flakes
Best uses: rosacea/redness-prone skin, covering redness, alone instead of foundation, cheeks/blush, setting makeup, under foundation/makeup"
21,P0011,description,495,"Name: 4-in-1 Foundation Stick Cream-to-Velvet Matte Foundation
Brand: PÜR
Category: Foundation
Description: Conscious Beauty at Ulta BeautyTM Vegan Clean Ingredients Cruelty Free Give Back PÜR 4-in-1 Foundation Stick covers imperfections and smooths skin with hydrating & nourishing skincare ingredients leaving behind a soft velvet matte finish. Details Benefits Key Ingredients Formulated Without Medium-to-full coverage with soft velvet-matte finish. 4 benefits in 1: Foundation, Concealer, Contour, Highlighter. Age-defying foundation formula smooths the look of skin and diminishes the appearance of fine line and wrinkles. Moisture-rich ingredients plump skin and boost hydration for a more youthful-looking appearance. Skincare-infused formula helps to reduce the appearance of blemishes, redness, fine lines and wrinkles, uneven skin tone, and hyperpigmentation. Foundation stick can be used as a highlighter or contour cream due to the unique octagonal stick component, perfect for on-the-go beauty. A complexion-boosting energy blend of invigorating ingredients like Green Tea, Ginseng, and Vitamin B help target signs of premature aging while stimulating and renewing the skin's appearance. Powered by PÜR's proprietary Ceretin Complex, non-irritating Encapsulated Retinol, Lactic Acid, Shea Butter, and Ceramides gently promote cell turnover while helping to diminish the look of fine lines, wrinkles, and discoloration for a brighter, smoother skin tone and texture. This gentle time-released formula can be used both day and night. Squalane mimics the oil naturally produced by skin to help balance and moisturize skin. Nylon-12 blurs the look of pores and imperfections. Aluminum Animal Derived Ingredients Formaldehyde Gluten Lead Mineral Oil Parabens Paraffin Petrolatum Phthalate Silicones Sulfates Talc How To Use Apply across forehead, cheeks, nose, and chin. Blend with a Contour Blending Sponge or the Foundation Brush (both sold separately). Build coverage as desired."
22,P0011,platform_summary,122,"Name: 4-in-1 Foundation Stick Cream-to-Velvet Matte Foundation
Brand: PÜR
Category: Foundation
Pros: good/buildable coverage, smooth/creamy texture, flattering/good shade match, blends easily, good value/affordable, natural-looking finish, easy to apply/use, hydrating/non-drying, lightweight feel, long-lasting wear
Cons: cakey finish, heavy/thick feel, difficult to blend
Best uses: humid/hot weather, rosacea/redness-prone skin"
23,P0012,description,512,"Name: 4-in-1 Loose Blurring Setting Powder
Brand: PÜR
Category: Setting Spray & Powder
Description: Conscious Beauty at Ulta BeautyTM Vegan Clean Ingredients Cruelty Free Give Back PUR 4-in-1 Loose Setting Powder is a lightweight, skincare-infused setting powder that provides non-cakey coverage resulting in a soft, airbrushed appearance. Details Benefits Key Ingredients Formulated Without Helps control oil and breakthrough shine for a soft, mattified complexion 4 benefits in 1: Sets, Mattifies, Corrects, Blurs Skincare-infused powder melts into skin and is great for all skin tones Soft velvety finish helps reduce shine, color-corrects, and sets makeup, while imparting a fresh, never flat, finish Helps smooth the appearance of skin texture while helping reduce the look of fine lines and wrinkles Lock feature lid prevents spills and excess waste Built-in sponge for easy application, and on-the-go touchups This gentle time-released formula can be used both day and night PÜR: Skincare-infused beauty for all Powered by PUR's proprietary Ceretin Complex, an Encapsulated blend of Retinol, Lactic Acid, Shea Butter, and a Ceramide, that gently helps promote healthy skin renewal while helping to diminish the look of fine lines, wrinkles, and discoloration for a brighter, smoother skin tone and texture Shea Butter conditions and moisturizes skin Fortified with Rice Germ Extract to help protect skin from environmental stressors, like pollution and high energy visible blue light Energy Complex, a complexion-boosting blend of invigorating ingredients like Green Tea, Ginseng, and Vitamin B, help address signs of premature aging, helping to rejuvenate the skin's appearance Aluminum, Animal Derived Ingredients, Formaldehyde, Gluten, Lead, Mineral Oil, Parabens, Paraffins, Petrolatum, Phthalates, Silicones, Sulfates, Talc How To Use Using the included applicator, press and roll powder into the skin to achieve a flawless matte finish. To bake the skin, allow the powder to sit on the skin for several minutes before"
24,P0012,description,175,"Name: 4-in-1 Loose Blurring Setting Powder
Brand: PÜR
Category: Setting Spray & Powder
Paraffins, Petrolatum, Phthalates, Silicones, Sulfates, Talc How To Use Using the included applicator, press and roll powder into the skin to achieve a flawless matte finish. To bake the skin, allow the powder to sit on the skin for several minutes before sweeping away with a powder brush (not included). Precautions: Sun Burn Alert: This product contains an alpha hydroxy acid (AHA) that may increase your skin's sensitivity to the sun and particularly the possibility of sunburn. Use a sunscreen, wear protective clothing, and limit sun exposure while using this product and for a week afterwards."
25,P0012,platform_summary,116,"Name: 4-in-1 Loose Blurring Setting Powder
Brand: PÜR
Category: Setting Spray & Powder
Pros: good/buildable coverage, pleasant/subtle scent, convenient packaging/applicator, hydrating/non-drying, smooth/creamy texture
Cons: cakey finish, causes irritation/burning, smudges/transfers/flakes, too expensive/poor value
Best uses: natural/light makeup looks, professional/MUA kit, sensitive skin, setting makeup"
26,P0013,description,512,"Name: 4-In-1 Love Your Selfie Longwear Foundation & Concealer
Brand: PÜR
Category: Concealer
Description: Conscious Beauty at Ulta BeautyTM Vegan Clean Ingredients Cruelty Free Give Back PÜR 4-in-1 Love Your Selfie Longwear Foundation & Concealer is formulated to instantly mask blemishes and imperfections, leaving behind a natural, skin-like finish. Details Benefits Key Ingredients Formulated Without Full coverage, natural, skin-like, matte finish. 4 benefits in 1: Foundation, concealer, skincare, and longwear. Unique, dual-applicator component. Conceal blemishes, dark spots, and imperfections with the targeted, doe foot applicator or achieve flawless, all over coverage with pump. Hydrating PÜR 4-in-1 Love Your Selfie formula won't settle into fine lines & wrinkles. Consumers say 4-in-1 Love Your Selfie is easy to use and feels comfortable on skin. Skincare-infused formula effectively conceals redness and discoloration, conceals blemishes and skin imperfections. Hypoallergenic. Powered by Lingonberry Extract, which helps protect skin from damage caused by high energy visible blue light. Polysaccharide Film provides a protective, breathable barrier to help shield skin from environmental stressors like pollution. A complexion-boosting blend of invigorating skincare ingredients like Green Tea, Ginseng, and Vitamin B help address signs of premature aging while stimulating and renewing the skin's appearance. Powered by PÜR's proprietary Ceretin Complex, non-irritating Encapsulated Retinol, Lactic Acid, Shea Butter, and Ceramides which gently promote cell turnover while helping to diminish the look of fine lines, wrinkles, and discoloration for a brighter, smoother skin tone and texture. This gentle time-released formula can be used both day and night. BPA Fragrance Gluten Mineral Oil Parabens Phthalate Sulfates How To Use Concealer: Use the doe foot applicator to apply concealer directly onto imperfections or dark spots. Blend using a complexion brush. Foundation: Apply 1-2 pumps of foundation directly onto the face using your finger. Blend"
27,P0013,description,99,"Name: 4-In-1 Love Your Selfie Longwear Foundation & Concealer
Brand: PÜR
Category: Concealer
Parabens Phthalate Sulfates How To Use Concealer: Use the doe foot applicator to apply concealer directly onto imperfections or dark spots. Blend using a complexion brush. Foundation: Apply 1-2 pumps of foundation directly onto the face using your finger. Blend using a complexion brush."
28,P0013,platform_summary,117,"Name: 4-In-1 Love Your Selfie Longwear Foundation & Concealer
Brand: PÜR
Category: Concealer
Pros: good/buildable coverage, hydrating/non-drying, smooth/creamy texture, blends easily, flattering/good shade match, natural-looking finish
Cons: cakey finish, creases/settles into lines, heavy/thick feel, difficult to blend, drying/emphasizes dry patches
Best uses: humid/hot weather, mature skin, sensitive skin"
29,P0014,description,387,"Name: 4-in-1 Pressed Mineral Makeup Broad Spectrum SPF 15
Brand: PÜR
Category: Foundation
Description: Conscious Beauty at Ulta BeautyTM Vegan Clean Ingredients Cruelty Free Give Back Achieve smoother-looking skin with PÜR's best selling, multitasking 4-in-1 Pressed Mineral Powder Foundation SPF 15 with nourishing skincare ingredients. Details Benefits Key Ingredients Formulated Without Medium, buildable coverage, natural finish powder foundation. 4 benefits in 1: Foundation, Concealer, Powder, and SPF. Bestselling, multi-tasking foundation. Lightweight feel, no-mess mineral makeup won't settle into fine lines & wrinkles. Skincare-infused formula helps to reduce the appearance of dark circles, redness, fine lines & wrinkles, uneven skin tone, and hyperpigmentation. Plumps, lifts, and firms the appearance of skin. Hypoallergenic. Waltheria Extract brightens and smooths complexion and evens skin tone. Shea Butter and Vitamin E condition and moisturize skin. Powered by non-irritating Encapsulated Retinol as part of Ceretin Complex, that gently promotes cell turnover while helping to diminish the look of fine lines, wrinkles, and discoloration for a brighter, smoother skin tone and texture. This gentle time-released formula can be used both day and night. Aluminum BPA Fragrance Gluten Mineral Oil Parabens Phthalate Silicones Sulfates Talc How To Use Using a Skin Perfecting Foundation Brush or a Chisel Brush (not included), apply in circular motions to achieve an even and flawless finish. Layer as needed for desired coverage."
30,P0014,platform_summary,174,"Name: 4-in-1 Pressed Mineral Makeup Broad Spectrum SPF 15
Brand: PÜR
Category: Foundation
Pros: good/buildable coverage, natural-looking finish, does not emphasize lines/wrinkles, easy to apply/use, flattering/good shade match, glowy/radiant finish, lightweight feel, long-lasting wear, matte finish/oil control
Cons: creases/settles into lines, heavy/thick feel, cakey finish, causes irritation/burning, poor longevity, too expensive/poor value
Best uses: natural/light makeup looks, bronzing/contouring, cheeks/blush, dry skin, everyday wear, setting makeup, travel/on-the-go touch-ups, under foundation/makeup"
31,P0015,description,512,"Name: 4-in-1 Sculpting Brightening Concealer
Brand: PÜR
Category: Concealer
Description: Conscious Beauty at Ulta BeautyTM Vegan Clean Ingredients Cruelty Free Give Back PÜR 4-in-1 Sculpting Concealer covers the look of imperfections, brightens, and renews the appearance of skin with encapsulated retinol and antioxidant-rich superfoods. Details Benefits Key Ingredients Formulated Without Medium-to-full concealer coverage with lightweight feel and second-skin finish. 4 benefits in 1: Covers, Brightens, Plumps, Corrects. Naturally-moisturizing concealer formula adapts to multiple skin tones and textures for a seamless finish. Skincare-infused concealer formula helps to reduce the appearance of blemishes, redness, fine lines and wrinkles, uneven skin tone, and hyperpigmentation. Blends out seamlessly, helps to cover the look of imperfections while brightening the appearance of the under-eye area. Innovative push-button component opens and closes with ease. Powered by PÜR's proprietary Ceretin Complex, non-irritating Encapsulated Retinol, Lactic Acid, Shea Butter, and Ceramides gently promote cell turnover while helping to diminish the look of fine lines, wrinkles, and discoloration for a brighter, smoother skin tone and texture. This gentle time-released formula can be used both day and night. Sodium Hyaluronate reduces dryness while locking in hydration for plumper-looking skin. A complexion-boosting blend of invigorating ingredients like Green Tea, Ginseng, and Vitamin B help target signs of premature aging while stimulating and renewing the skin's appearance. A unique Superfood Blend is enriched with Turmeric and Elderberry Fruit Extract for a nourished, brighter, and more radiant-looking appearance. Caffeine energizes and revitalizes tired-looking skin for a more well-rested appearance. Aluminum Animal Derived Ingredients Formaldehyde Gluten Lead Mineral Oil Parabens Paraffin Petrolatum Phthalate Silicones Sulfates Talc How To Use Apply a small"
32,P0015,description,209,"Name: 4-in-1 Sculpting Brightening Concealer
Brand: PÜR
Category: Concealer
ffeine energizes and revitalizes tired-looking skin for a more well-rested appearance. Aluminum Animal Derived Ingredients Formaldehyde Gluten Lead Mineral Oil Parabens Paraffin Petrolatum Phthalate Silicones Sulfates Talc How To Use Apply a small amount to the desired area and smooth on with fingers or a brush (not included). Pro tip: Pairs perfectly with PÜR's bestselling 4-In-1 Pressed Mineral Makeup Foundation With Skincare Ingredients. Precautions: Sun Burn Alert: This product contains an alpha hydroxy acid (AHA) that may increase your skin's sensitivity to the sun and particularly the possibility of sunburn. Use a sunscreen, wear protective clothing, and limit sun exposure while using this product and for a week afterwards."
33,P0015,platform_summary,209,"Name: 4-in-1 Sculpting Brightening Concealer
Brand: PÜR
Category: Concealer
Pros: smooth/creamy texture, good/buildable coverage, hydrating/non-drying, lightweight feel, natural-looking finish, convenient packaging/applicator, easy to apply/use, long-lasting wear, blends easily, glowy/radiant finish
Cons: cakey finish, heavy/thick feel, creases/settles into lines, drying/emphasizes dry patches, poor/insufficient coverage, shade/color mismatch or inaccurate photos, too expensive/poor value
Best uses: under-eye dark circles/brightening, covering blemishes/dark spots, dry skin, everyday wear, professional/MUA kit, travel/on-the-go touch-ups, bronzing/contouring, highlighting, natural/light makeup looks, alone instead of foundation"
34,P0016,description,347,"Name: 4-in-1 Tinted Moisturizer Broad Spectrum SPF 20
Brand: PÜR
Category: Tinted Moisturizer
Description: Conscious Beauty at Ulta BeautyTM Vegan Clean Ingredients Cruelty Free Give Back PÜR 4-In-1 Tinted Moisturizer Broad Spectrum SPF 20 is an all-in-one that hydrates, corrects, and plumps the look of skin while providing a sheer, dewy finish. Details Benefits Key Ingredients Formulated Without Sheer-to-buildable coverage with a dewy, hydrated finish. 4 benefits in 1: moisturizer, primer, foundation, and SPF. Skincare-infused tinted moisturizer formula helps to enhance the look of your complexion. Hypoallergenic. Sodium hyaluronate helps to firm, hydrate, and retain skin's moisture. Powered by Retinol and Retinyl Palmitate as part of Ceretin Complex, gently promotes cell turnover while helping to diminish the look of fine lines, wrinkles, and discoloration for a brighter, smoother skin tone and texture. Chamomile and Shea Butter to soothe and calm skin. Aloe and Vitamin E to condition and nourish. BPA Fragrance Gluten Mineral Oil Parabens Phthalate Sulfates How To Use Smooth a small amount onto clean skin and blend for desired coverage. May also be worn under the 4-in-1 Pressed Mineral Makeup for an added radiant glow. Precautions: Children under 6 months: ask a doctor."
