query_id,logical_product_id,query_text,query_type,product_name,raw_response,relevance,justification,parse_status
2,P0751,Pore-minimizing face primer with a matte finish for oily skin,multiple_requirements,No Pore Zone Mattifying Face Primer,"{""relevance"": 3, ""justification"": ""The product is a face primer with a matte finish that blurs imperfections and minimizes pores, explicitly supporting the query for oily skin. No query-relevant contradiction exists in the evidence.""}",3,"The product is a face primer with a matte finish that blurs imperfections and minimizes pores, explicitly supporting the query for oily skin. No query-relevant contradiction exists in the evidence.",ok
12,P1265,Something to stop my makeup from looking patchy,problem_or_negative_constraint,Your Skin But Better Foundation + Skincare,"{""relevance"": 1, ""justification"": ""The product is a foundation with medium coverage and a natural finish, but cons explicitly state a 'patchy/streaky finish' and 'poor/insufficient coverage', directly contradicting the query's need to stop makeup from looking patchy.""}",1,"The product is a foundation with medium coverage and a natural finish, but cons explicitly state a 'patchy/streaky finish' and 'poor/insufficient coverage', directly contradicting the query's need to stop makeup from looking patchy.",ok
41,P0447,Tinted moisturizer with SPF,single_property,Halo Healthy Glow Tinted Moisturizer Broad Spectrum SPF 25,"{""relevance"": 3, ""justification"": ""The product is a tinted moisturizer with SPF 25, matching the query's core requirement. No contradiction exists in function, type, or SPF. All explicit query needs are affirmatively supported.""}",3,"The product is a tinted moisturizer with SPF 25, matching the query's core requirement. No contradiction exists in function, type, or SPF. All explicit query needs are affirmatively supported.",ok
20,P0180,I am looking for a concealer,broad_or_underspecified,Bye Bye Under Eye Full Coverage Anti-Aging Waterproof Concealer,"{""relevance"": 3, ""justification"": ""The product is a concealer specifically for under-eye dark circles and bags, offering full coverage, waterproof properties, and suitability for all skin types. No query-relevant contradiction exists; all explicit requirements are affirmatively supported.""}",3,"The product is a concealer specifically for under-eye dark circles and bags, offering full coverage, waterproof properties, and suitability for all skin types. No query-relevant contradiction exists; all explicit requirements are affirmatively supported.",ok
35,P0279,Contouring product that does not become patchy or fade quickly,problem_or_negative_constraint,Contour Palette,"{""relevance"": 1, ""justification"": ""The product is a contouring palette with powder shades and medium coverage, supporting the core function. However, cons explicitly state 'difficult to blend' and 'can cause breakouts', contradicting the requirement to avoid patchiness and quick fading.""}",1,"The product is a contouring palette with powder shades and medium coverage, supporting the core function. However, cons explicitly state 'difficult to blend' and 'can cause breakouts', contradicting the requirement to avoid patchiness and quick fading.",ok
8,P0204,Something that adds life to the face,broad_or_underspecified,Celebration Foundation Illumination,"{""relevance"": 3, ""justification"": ""The product delivers a 'flawless, illuminized finish' and 'lit-from-within glow' as explicitly requested. No query-relevant contradiction exists in the evidence.""}",3,"The product delivers a 'flawless, illuminized finish' and 'lit-from-within glow' as explicitly requested. No query-relevant contradiction exists in the evidence.",ok
42,P0573,Light-coverage tinted moisturizer with a dewy finish for dry skin,multiple_requirements,Kind Tint Tinted Serum,"{""relevance"": 1, ""justification"": ""The product offers light coverage and a dewy finish, supporting the central need, but cons explicitly state it emphasizes dry patches and has a drying effect, contradicting the requirement for dry skin. Coverage is also described as poor and insufficient, contradicting the light-coverage requirement.""}",1,"The product offers light coverage and a dewy finish, supporting the central need, but cons explicitly state it emphasizes dry patches and has a drying effect, contradicting the requirement for dry skin. Coverage is also described as poor and insufficient, contradicting the light-coverage requirement.",ok
42,P0715,Light-coverage tinted moisturizer with a dewy finish for dry skin,multiple_requirements,Mini Tinted Moisturizer Natural Skin Perfector Broad Spectrum SPF 30,"{""relevance"": 3, ""justification"": ""The product is a tinted moisturizer with a dewy finish and provides sheer coverage, suitable for dry skin due to its hydrating ingredients. No query-relevant contradiction exists.""}",3,"The product is a tinted moisturizer with a dewy finish and provides sheer coverage, suitable for dry skin due to its hydrating ingredients. No query-relevant contradiction exists.",ok
35,P0902,Contouring product that does not become patchy or fade quickly,problem_or_negative_constraint,Pro Sculpt Concealer Palette,"{""relevance"": 1, ""justification"": ""The product is a contouring product with long-lasting formula, supporting the core need. However, it causes irritation and creases, contradicting the requirement to not become patchy or fade quickly.""}",1,"The product is a contouring product with long-lasting formula, supporting the core need. However, it causes irritation and creases, contradicting the requirement to not become patchy or fade quickly.",ok
20,P0843,I am looking for a concealer,broad_or_underspecified,Power Plush Longwear Concealer,"{""relevance"": 3, ""justification"": ""The product is a concealer with medium buildable coverage, natural satin finish, and long-lasting wear, directly supporting the query. No query-relevant contradiction exists in the evidence.""}",3,"The product is a concealer with medium buildable coverage, natural satin finish, and long-lasting wear, directly supporting the query. No query-relevant contradiction exists in the evidence.",ok
8,P1116,Something that adds life to the face,broad_or_underspecified,Sweet & Sunny Cheeks 2-Piece NUDIES Kit,"{""relevance"": 3, ""justification"": ""The product adds a dewy, fresh blush and sunkissed bronze, directly warming the complexion and giving a healthy glow. No query-relevant contradiction exists; all explicit needs are affirmatively supported.""}",3,"The product adds a dewy, fresh blush and sunkissed bronze, directly warming the complexion and giving a healthy glow. No query-relevant contradiction exists; all explicit needs are affirmatively supported.",ok
18,P0194,Hydrating liquid concealer with full coverage for dark circles,multiple_requirements,Care and Glow Hydrating Serum Concealer,"{""relevance"": 2, ""justification"": ""The product offers hydrating properties and addresses dark circles with brightening and blurring, supporting the core need. However, it lacks full coverage (only medium buildable), contradicting a key query requirement.""}",2,"The product offers hydrating properties and addresses dark circles with brightening and blurring, supporting the core need. However, it lacks full coverage (only medium buildable), contradicting a key query requirement.",ok
41,P1021,Tinted moisturizer with SPF,single_property,Skin Treat Poreless Tinted Moisturizer SPF 20,"{""relevance"": 3, ""justification"": ""The product is a tinted moisturizer with SPF 20, matching the query's core requirement. It has a natural matte finish, oil-free formula, and broad-spectrum SPF, all explicitly supported. No query-relevant contradiction exists.""}",3,"The product is a tinted moisturizer with SPF 20, matching the query's core requirement. It has a natural matte finish, oil-free formula, and broad-spectrum SPF, all explicitly supported. No query-relevant contradiction exists.",ok
7,P0121,Powder blush that does not accentuate skin texture,problem_or_negative_constraint,Blush Subtil Oil-Free Powder Blush,"{""relevance"": 2, ""justification"": ""The product is a powder blush with a natural-looking, glowy finish and smooth texture that blends easily, supporting the request for a non-texturizing effect. However, no explicit evidence confirms it does not accentuate skin texture, and 'natural-looking' could imply texture enhancement.""}",2,"The product is a powder blush with a natural-looking, glowy finish and smooth texture that blends easily, supporting the request for a non-texturizing effect. However, no explicit evidence confirms it does not accentuate skin texture, and 'natural-looking' could imply texture enhancement.",ok
8,P0549,Something that adds life to the face,broad_or_underspecified,Invisible Touch Face Fixing Powder,"{""relevance"": 2, ""justification"": ""The product provides a matte finish and controls shine, supporting the idea of adding freshness to the face. However, it lacks evidence of 'adding life' directly, and its drying effect contradicts the notion of vitality.""}",2,"The product provides a matte finish and controls shine, supporting the idea of adding freshness to the face. However, it lacks evidence of 'adding life' directly, and its drying effect contradicts the notion of vitality.",ok
8,P1032,Something that adds life to the face,broad_or_underspecified,Smooth Affair Facial Primer & Brightener,"{""relevance"": 3, ""justification"": ""The product explicitly claims to 'bring out your natural radiance' and 'minimize the appearance of fine lines', directly supporting the query's need to 'add life to the face'. No query-relevant contradictions exist.""}",3,"The product explicitly claims to 'bring out your natural radiance' and 'minimize the appearance of fine lines', directly supporting the query's need to 'add life to the face'. No query-relevant contradictions exist.",ok
15,P1035,Foundation that does not cake or settle into fine lines,problem_or_negative_constraint,Smooth Finish Foundation Powder,"{""relevance"": 1, ""justification"": ""The product is a powder, not a foundation, and the query specifies a foundation. While it claims to prevent settling into fine lines, it lacks explicit foundation formulation evidence and contradicts the query's core product type.""}",1,"The product is a powder, not a foundation, and the query specifies a foundation. While it claims to prevent settling into fine lines, it lacks explicit foundation formulation evidence and contradicts the query's core product type.",ok
25,P0423,Affordable highlighter,single_property,Glow Seeker Champagne Gold Powder Highlighter,"{""relevance"": 3, ""justification"": ""The product is a highlighter with an affordable price point and radiant finish, directly supporting the query. No query-relevant contradiction exists in the evidence.""}",3,"The product is a highlighter with an affordable price point and radiant finish, directly supporting the query. No query-relevant contradiction exists in the evidence.",ok
26,P0085,Champagne powder highlighter with a blinding glow for evening makeup,multiple_requirements,BAUME ESSENTIEL Multi-Use Glow Stick,"{""relevance"": 1, ""justification"": ""The product offers a glowy finish suitable for evening makeup, but contradicts the query's 'blinding glow' with 'too shiny/glittery' and 'poor longevity'. It lacks explicit support for a blinding, intense highlighter effect.""}",1,"The product offers a glowy finish suitable for evening makeup, but contradicts the query's 'blinding glow' with 'too shiny/glittery' and 'poor longevity'. It lacks explicit support for a blinding, intense highlighter effect.",ok
37,P0285,Green color corrector to reduce redness,single_property,Correct & Transform,"{""relevance"": 2, ""justification"": ""The product offers color correction for discoloration, supporting the need to reduce redness. However, no explicit mention of green color or redness correction is provided, and the cons indicate a heavy feel and patchy finish, which may affect performance.""}",2,"The product offers color correction for discoloration, supporting the need to reduce redness. However, no explicit mention of green color or redness correction is provided, and the cons indicate a heavy feel and patchy finish, which may affect performance.",ok
10,P1267,Mattifying setting spray that lasts all day and controls shine,multiple_requirements,Your Skin But Better Setting Spray + Hydrating Mist,"{""relevance"": 1, ""justification"": ""The product controls shine and offers up to 16-hour wear, supporting the core need. However, cons explicitly state it smudges, transfers, and has poor longevity, contradicting the 'lasts all day' requirement.""}",1,"The product controls shine and offers up to 16-hour wear, supporting the core need. However, cons explicitly state it smudges, transfers, and has poor longevity, contradicting the 'lasts all day' requirement.",ok
13,P0051,Full-coverage foundation,single_property,Always On Skin-Balancing Foundation with Hyaluronic Acid + Adaptogens,"{""relevance"": 2, ""justification"": ""The product offers buildable medium-to-full coverage and longwearing properties, supporting the full-coverage need. However, cons mention poor longevity, patchy finish, and insufficient coverage, contradicting the full-coverage requirement.""}",2,"The product offers buildable medium-to-full coverage and longwearing properties, supporting the full-coverage need. However, cons mention poor longevity, patchy finish, and insufficient coverage, contradicting the full-coverage requirement.",ok
30,P0412,Gentle cleansing balm suitable for sensitive skin,multiple_requirements,"Gentle Makeup Removing Wipes, Fragrance and Alcohol Free","{""relevance"": 2, ""justification"": ""The product is gentle and suitable for sensitive skin, with dermatologist and ophthalmologist testing, hypoallergenic properties, and soothing ingredients. However, cons mention irritation and a heavy feel, contradicting the 'gentle' requirement.""}",2,"The product is gentle and suitable for sensitive skin, with dermatologist and ophthalmologist testing, hypoallergenic properties, and soothing ingredients. However, cons mention irritation and a heavy feel, contradicting the 'gentle' requirement.",ok
31,P0002,Makeup remover that does not sting or irritate my eyes,problem_or_negative_constraint,100% Oil Free Eye Makeup Remover,"{""relevance"": 1, ""justification"": ""The product is marketed as gentle and safe for sensitive eyes, but cons explicitly state it causes irritation and burning, directly contradicting the query's requirement of not stinging or irritating eyes.""}",1,"The product is marketed as gentle and safe for sensitive eyes, but cons explicitly state it causes irritation and burning, directly contradicting the query's requirement of not stinging or irritating eyes.",ok
4,P0815,Noncomedogenic pore-blurring product,broad_or_underspecified,Pore Blur Primer,"{""relevance"": 1, ""justification"": ""The product reduces pore appearance and has a matte finish, supporting the pore-blurring function. However, it contradicts the noncomedogenic requirement as 'can cause breakouts' directly opposes noncomedogenic claims.""}",1,"The product reduces pore appearance and has a matte finish, supporting the pore-blurring function. However, it contradicts the noncomedogenic requirement as 'can cause breakouts' directly opposes noncomedogenic claims.",ok
8,P0358,Something that adds life to the face,broad_or_underspecified,"Face Palette - All In One Bronzer, Highlight, Blush","{""relevance"": 3, ""justification"": ""The product delivers a natural radiance and glow, directly supporting the query's need to 'add life to the face'. All explicit requirements are affirmed: it provides a luminous, radiant finish with a 'glowy/radiant' effect, suitable for facial use, and enhances skin with a 'subtle to supercharged look'.""}",3,"The product delivers a natural radiance and glow, directly supporting the query's need to 'add life to the face'. All explicit requirements are affirmed: it provides a luminous, radiant finish with a 'glowy/radiant' effect, suitable for facial use, and enhances skin with a 'subtle to supercharged look'.",ok
1,P0497,Hydrating face primer,single_property,Hydrate Primer,"{""relevance"": 2, ""justification"": ""The product is a hydrating face primer with affirmatively supported hydration and glowy finish. Contradiction: it causes irritation and has a cakey finish, which contradicts 'hydrating' and 'gentle' expectations for sensitive skin.""}",2,"The product is a hydrating face primer with affirmatively supported hydration and glowy finish. Contradiction: it causes irritation and has a cakey finish, which contradicts 'hydrating' and 'gentle' expectations for sensitive skin.",ok
2,P0823,Pore-minimizing face primer with a matte finish for oily skin,multiple_requirements,The POREfessional Matte Pore Minimizing Primer,"{""relevance"": 3, ""justification"": ""The product is a face primer with a matte finish that blurs pores and is explicitly stated to be good for oily skin. No query-relevant contradictions exist in the evidence.""}",3,The product is a face primer with a matte finish that blurs pores and is explicitly stated to be good for oily skin. No query-relevant contradictions exist in the evidence.,ok
22,P0745,Powder bronzer with a warm undertone for a sun-kissed look,multiple_requirements,Natural-Looking Matte Powder Bronzer,"{""relevance"": 2, ""justification"": ""The product is a powder bronzer with a natural-looking, sun-kissed finish and includes naturally sun-kissed shades. However, it lacks explicit evidence of a warm undertone, and the shade range is noted as inclusive for cool and olive undertones, which contradicts the query's specific request for a warm undertone.""}",2,"The product is a powder bronzer with a natural-looking, sun-kissed finish and includes naturally sun-kissed shades. However, it lacks explicit evidence of a warm undertone, and the shade range is noted as inclusive for cool and olive undertones, which contradicts the query's specific request for a warm undertone.",ok
19,P0274,Concealer that does not crease,problem_or_negative_constraint,Conceal To Reveal 3-in-1 Coverage Palette,"{""relevance"": 1, ""justification"": ""The product explicitly states it 'can cause breakouts, creases/settles into lines' and 'smudges/transfers/flakes', directly contradicting the query requirement that the concealer does not crease.""}",1,"The product explicitly states it 'can cause breakouts, creases/settles into lines' and 'smudges/transfers/flakes', directly contradicting the query requirement that the concealer does not crease.",ok
39,P1031,Color corrector that does not dry out the under-eye area,problem_or_negative_constraint,Smashbox X BECCA Under Eye Brightening Corrector,"{""relevance"": 2, ""justification"": ""The product is a color corrector that is hydrating and non-drying, affirming the query's need to avoid drying the under-eye area. However, cons mention it can emphasize dry patches, creating a contradiction on drying effects.""}",2,"The product is a color corrector that is hydrating and non-drying, affirming the query's need to avoid drying the under-eye area. However, cons mention it can emphasize dry patches, creating a contradiction on drying effects.",ok
38,P0922,Peach color corrector for dark circles that is easy to blend,multiple_requirements,Putty Color-Correcting Eye Brightener,"{""relevance"": 3, ""justification"": ""The product is a peach color corrector specifically for dark circles with easy blending, confirmed by its color-correcting peach hues and unique putty texture that blends effortlessly. No query-relevant contradiction exists.""}",3,"The product is a peach color corrector specifically for dark circles with easy blending, confirmed by its color-correcting peach hues and unique putty texture that blends effortlessly. No query-relevant contradiction exists.",ok
40,P0201,Product for covering rosacea,problem_or_negative_constraint,CC Red Correct,"{""relevance"": 3, ""justification"": ""The product is explicitly formulated for redness-prone skin and contains color-correcting green pigments to target rosacea. No query-relevant contradiction exists in the evidence.""}",3,The product is explicitly formulated for redness-prone skin and contains color-correcting green pigments to target rosacea. No query-relevant contradiction exists in the evidence.,ok
15,P0997,Foundation that does not cake or settle into fine lines,problem_or_negative_constraint,Simply Ageless Skin Perfector Essence Foundation,"{""relevance"": 1, ""justification"": ""The product is a foundation and addresses fine lines with bakuchiol, but explicitly states in cons that it 'creases/settles into lines,' directly contradicting the query's requirement of not settling into fine lines.""}",1,"The product is a foundation and addresses fine lines with bakuchiol, but explicitly states in cons that it 'creases/settles into lines,' directly contradicting the query's requirement of not settling into fine lines.",ok
8,P0129,Something that adds life to the face,broad_or_underspecified,Blushful Mini Mix Face Palette,"{""relevance"": 2, ""justification"": ""The product is a blush palette that adds color and vibrancy to the face, supporting the query's intent. However, it is categorized as a highlighter, not a blush, creating a functional mismatch.""}",2,"The product is a blush palette that adds color and vibrancy to the face, supporting the query's intent. However, it is categorized as a highlighter, not a blush, creating a functional mismatch.",ok
19,P0650,Concealer that does not crease,problem_or_negative_constraint,Maracuja Creaseless Concealer,"{""relevance"": 1, ""justification"": ""The product is marketed as 'waterproof, anti-crease' and 'anti-crease formula', directly supporting the query. However, cons explicitly state 'creases/settles into lines', contradicting the claim. This direct contradiction renders the pair marginally relevant.""}",1,"The product is marketed as 'waterproof, anti-crease' and 'anti-crease formula', directly supporting the query. However, cons explicitly state 'creases/settles into lines', contradicting the claim. This direct contradiction renders the pair marginally relevant.",ok
3,P0550,Primer that does not pill under foundation,problem_or_negative_constraint,Invisible UV Flawless Primer SPF 50,"{""relevance"": 1, ""justification"": ""The primer is designed to hydrate and smooth skin, supporting a flawless finish, but explicitly causes drying and emphasizes dry patches, directly contradicting the query's need for a primer that does not pill under foundation.""}",1,"The primer is designed to hydrate and smooth skin, supporting a flawless finish, but explicitly causes drying and emphasizes dry patches, directly contradicting the query's need for a primer that does not pill under foundation.",ok
43,P0573,Tinted moisturizer that doesn't clog pores or cause breakouts,problem_or_negative_constraint,Kind Tint Tinted Serum,"{""relevance"": 1, ""justification"": ""The product is a tinted moisturizer with non-clogging, clean ingredients, supporting the core need. However, it causes irritation and drying, directly contradicting the requirement to not cause breakouts.""}",1,"The product is a tinted moisturizer with non-clogging, clean ingredients, supporting the core need. However, it causes irritation and drying, directly contradicting the requirement to not cause breakouts.",ok
48,P0767,Something for oily skin,broad_or_underspecified,Olay Simply Ageless 3-in-1 Liquid Foundation,"{""relevance"": 1, ""justification"": ""The product is a foundation suitable for oily skin due to its hydrating, non-drying formula, but contradicts the query by causing breakouts and irritation, which are common issues on oily skin. Evidence of irritation and potential for breakouts directly contradicts the need for a safe, suitable product for oily skin.""}",1,"The product is a foundation suitable for oily skin due to its hydrating, non-drying formula, but contradicts the query by causing breakouts and irritation, which are common issues on oily skin. Evidence of irritation and potential for breakouts directly contradicts the need for a safe, suitable product for oily skin.",ok
48,P0245,Something for oily skin,broad_or_underspecified,Clean Matte BB Cream,"{""relevance"": 3, ""justification"": ""The product is explicitly designed for oily skin and offers oil-free, matte control with non-comedogenic properties. No query-relevant contradiction exists in the evidence.""}",3,"The product is explicitly designed for oily skin and offers oil-free, matte control with non-comedogenic properties. No query-relevant contradiction exists in the evidence.",ok
41,P1140,Tinted moisturizer with SPF,single_property,Tinted Moisturizer SPF 24,"{""relevance"": 3, ""justification"": ""The product is a tinted moisturizer with SPF 24, matching the query's core requirement. No query-relevant contradiction exists in the evidence.""}",3,"The product is a tinted moisturizer with SPF 24, matching the query's core requirement. No query-relevant contradiction exists in the evidence.",ok
5,P0215,Liquid blush,single_property,Cheek Kiss Liquid Blush,"{""relevance"": 3, ""justification"": ""The product is a liquid blush, matches the query's product type, and is described as ultra-blendable and lightweight with a sheer kiss of color. No query-relevant contradiction exists in the evidence.""}",3,"The product is a liquid blush, matches the query's product type, and is described as ultra-blendable and lightweight with a sheer kiss of color. No query-relevant contradiction exists in the evidence.",ok
17,P0344,Concealer for under the eyes,single_property,Enlighten Plus Under-Eye Concealer,"{""relevance"": 2, ""justification"": ""The product is a concealer specifically for under the eyes with buildable coverage, brightening, and puffiness reduction, directly supporting the query. However, cons mention poor coverage and creasing, contradicting the 'full-coverage' requirement, lowering relevance from 3 to 2.""}",2,"The product is a concealer specifically for under the eyes with buildable coverage, brightening, and puffiness reduction, directly supporting the query. However, cons mention poor coverage and creasing, contradicting the 'full-coverage' requirement, lowering relevance from 3 to 2.",ok
28,P1130,Something that brightens,broad_or_underspecified,Tickle Golden Pink Powder Highlighter,"{""relevance"": 3, ""justification"": ""The product is a highlighter with a golden pink luster that provides a glowy, radiant finish, directly supporting the query 'something that brightens'. No query-relevant contradiction exists.""}",3,"The product is a highlighter with a golden pink luster that provides a glowy, radiant finish, directly supporting the query 'something that brightens'. No query-relevant contradiction exists.",ok
15,P1054,Foundation that does not cake or settle into fine lines,problem_or_negative_constraint,Stay-Matte Oil-Free Makeup Foundation,"{""relevance"": 1, ""justification"": ""The product is a foundation with a matte finish and oil control, supporting the need to avoid caking. However, the cons explicitly state a 'cakey finish,' which directly contradicts the query's requirement of not caking.""}",1,"The product is a foundation with a matte finish and oil control, supporting the need to avoid caking. However, the cons explicitly state a 'cakey finish,' which directly contradicts the query's requirement of not caking.",ok
8,P0341,Something that adds life to the face,broad_or_underspecified,Effervescence Extra Dimension Face Compact,"{""relevance"": 2, ""justification"": ""The product is a highlighter, which can add life to the face, supporting the central need. However, the query lacks explicit requirements like finish or shade, and the cons mention poor value, which is not directly contradictory to function.""}",2,"The product is a highlighter, which can add life to the face, supporting the central need. However, the query lacks explicit requirements like finish or shade, and the cons mention poor value, which is not directly contradictory to function.",ok
45,P1157,CC cream to even out skin tone,single_property,Travel Size CC Cream SPF 25,"{""relevance"": 3, ""justification"": ""The product explicitly states it evens out skin tone and provides light coverage with a seamless shade match. No query-relevant contradiction exists in the evidence.""}",3,The product explicitly states it evens out skin tone and provides light coverage with a seamless shade match. No query-relevant contradiction exists in the evidence.,ok
10,P0193,Mattifying setting spray that lasts all day and controls shine,multiple_requirements,Can't Stop Won't Stop All Day Mattifying Powder,"{""relevance"": 1, ""justification"": ""The product is a mattifying powder, not a setting spray, and directly contradicts the query's requirement for a setting spray. While it controls shine and lasts all day, the wrong product type makes it marginally relevant.""}",1,"The product is a mattifying powder, not a setting spray, and directly contradicts the query's requirement for a setting spray. While it controls shine and lasts all day, the wrong product type makes it marginally relevant.",ok
31,P0955,Makeup remover that does not sting or irritate my eyes,problem_or_negative_constraint,Rinse-Off Eye Makeup Remover Solvent,"{""relevance"": 1, ""justification"": ""The product is described as sting-free and dermatologist/ophthalmologist tested, supporting the eye safety claim. However, cons explicitly state it 'causes irritation/burning,' directly contradicting the query's requirement of not stinging or irritating.""}",1,"The product is described as sting-free and dermatologist/ophthalmologist tested, supporting the eye safety claim. However, cons explicitly state it 'causes irritation/burning,' directly contradicting the query's requirement of not stinging or irritating.",ok
15,P0466,Foundation that does not cake or settle into fine lines,problem_or_negative_constraint,High Fidelity Foundation,"{""relevance"": 1, ""justification"": ""The product explicitly states a 'cakey finish' in cons, directly contradicting the query's requirement of not caking. While it offers buildable coverage and hydration, the cakey finish undermines relevance.""}",1,"The product explicitly states a 'cakey finish' in cons, directly contradicting the query's requirement of not caking. While it offers buildable coverage and hydration, the cakey finish undermines relevance.",ok
48,P0768,Something for oily skin,broad_or_underspecified,Olay Simply Ageless Instant Wrinkle-Defying Foundation with SPF 28,"{""relevance"": 3, ""justification"": ""The product is a foundation explicitly listed as suitable for oily skin in best_uses. It provides hydrating, non-drying formula and lightweight feel, addressing oily skin needs. No query-relevant contradiction exists.""}",3,"The product is a foundation explicitly listed as suitable for oily skin in best_uses. It provides hydrating, non-drying formula and lightweight feel, addressing oily skin needs. No query-relevant contradiction exists.",ok
41,P1139,Tinted moisturizer with SPF,single_property,Tinted Moisturizer Oil Free Natural Skin Perfector Broad Spectrum SPF 20,"{""relevance"": 3, ""justification"": ""The product is a tinted moisturizer with SPF 20, offering oil-free, sheer coverage and broad-spectrum SPF. All explicit query requirements are affirmatively supported; no query-relevant contradictions exist.""}",3,"The product is a tinted moisturizer with SPF 20, offering oil-free, sheer coverage and broad-spectrum SPF. All explicit query requirements are affirmatively supported; no query-relevant contradictions exist.",ok
7,P0855,Powder blush that does not accentuate skin texture,problem_or_negative_constraint,Pressed Powder Blush,"{""relevance"": 3, ""justification"": ""The product is a powder blush with a natural matte finish that blends seamlessly without harsh lines, directly supporting the need to avoid accentuating skin texture. No query-relevant contradiction exists.""}",3,"The product is a powder blush with a natural matte finish that blends seamlessly without harsh lines, directly supporting the need to avoid accentuating skin texture. No query-relevant contradiction exists.",ok
