query_id,logical_product_id,query_text,query_type,product_name,brand,category,description,pros,cons,best_uses
2,P0751,Pore-minimizing face primer with a matte finish for oily skin,multiple_requirements,No Pore Zone Mattifying Face Primer,Milani,Face Primer,"Conscious Beauty at Ulta BeautyTM Vegan Clean Ingredients Cruelty Free Give Back Milani No Pore Zone is a lightweight, ultra-blurring and pore minimizing primer that preps skin for flawless makeup application. Silky formula. Details Features Key Ingredients Formulated Without Matte finish Lightweight, silky texture Blurs imperfections and minimizes pores, controls oil Extends makeup wear for all skin tones Provides a smooth canvas for makeup application For all skin tones Cruelty-Free Vegan Enriched with Lily and Bamboo extracts to nourish skin Parabens Sulfates How To Use For a perfectly prepped and hydrated canvas, apply desired amount all over the face before foundation application.","smooth/creamy texture, matte finish/oil control","cakey finish, difficult/messy application, heavy/thick feel","oily skin, everyday wear, long-wear events"
12,P1265,Something to stop my makeup from looking patchy,problem_or_negative_constraint,Your Skin But Better Foundation + Skincare,IT Cosmetics,Foundation,"Conscious Beauty at Ulta BeautyTM Give Back It's Your Foundation for Better Skin! IT Cosmetics Your Skin But Better Foundation is your lightweight, hydrating foundation with a natural radiant finish that gives you beautiful-looking skin even on the days you don't wear it. Details Features Benefits Research Results Experience an instantly better-looking complexion and better bare skin in just two weeks with Your Skin But Better Hydrating Foundation + Skincare! This buildable, medium coverage foundation minimizes the look of pores and imperfections while delivering all-day hydration and wear with a natural radiant finish. Suitable for all skin types and infused with hyaluronic acid, aloe vera extract, plus vitamins E & B5, your skin-loving lightweight foundation goes beyond a tinted moisturizer by working behind the scenes as you wear it. After just two weeks, skin looks smoother, skin tone appears more even and skin texture is visibly refined. IT's truly your foundation for better skin - even when you're not wearing IT! IT Cosmetics partners with plastic surgeons and dermatologists to develop skin-loving solutions and clinically tested formulas. #1 Prestige Face Makeup Brand in the U.S. (Source: The NPD Group/ U.S. Prestige Beauty Total Measured Market, Makeup Brand Dollar Sales, January-November 2020) Hydrating foundation with buildable, medium coverage Micro-fine pearl powder provides a natural radiant finish Moisturizing hyaluronic acid, aloe vera extract, vitamins E & B5, plus hepes acid for gentle exfoliation Better Skin in 2 Weeks! 7 out of 10 say skin looks smoother* Evens appearance of skin tone** Visibly refines skin texture** *Results based on a 2-week consumer study **Results based on a 2-week clinical study How To Use If deciding between two shades you think most closely match your skin tone, choose the lighter shade. Heavenly Skin Skin-Smoothing Complexion Brush #704 For best results, start at the center of your face and blend outward. Bye Bye Under Eye Full Coverage Anti-Aging Waterproof Concealer Ingredients |----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------| | Aqua/Water/Eau, Dimethicone, Isododecane, Cyclohexasiloxane, Glycerin, Peg-10 Dimethicone, Methyl Methacrylate Crosspolymer, Butylene Glycol, Pentylene Glycol, Synthetic Fluorphlogopite, Disteardimonium Hectorite, Hydroxyethylpiperazine Ethane Sulfonic Acid, Cetyl Peg/Ppg-10/1 Dimethicone, Sodium Chloride, Polyglyceryl-4 Isostearate, Hexyl Laurate, Caprylyl Glycol, Phenoxyethanol, Disodium Stearoyl Glutamate, Tocopherol, Silica, Panthenol, Aluminum Hydroxide, Hydroxyethyl Urea, Aloe Barbadensis Leaf Juice Powder, Sodium Hyaluronate, Tin Oxide, Hydrated Silica, Methicone, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, [+/-: Ci 77891/Titanium Dioxide, Ci 77491, Ci 77492, Ci 77499/Iron Oxides, Mica, Ci 77007/Ultramarines, Ci 15985/Yellow 6 Lake, Ci 42090/Blue 1 Lake, Ci 45410/Red 28 Lake, Ci 15850/Red 7]. |","good/buildable coverage, lightweight feel, flattering/good shade match, natural-looking finish, blends easily, glowy/radiant finish, long-lasting wear, does not emphasize lines/wrinkles, smooth/creamy texture","heavy/thick feel, cakey finish, patchy/streaky finish, poor/insufficient coverage, can cause breakouts, creases/settles into lines","mature skin, everyday wear"
41,P0447,Tinted moisturizer with SPF,single_property,Halo Healthy Glow Tinted Moisturizer Broad Spectrum SPF 25,Smashbox,Tinted Moisturizer,"Primer-infused for all-day wear & a healthy glow, this SPF tinted moisturizer gives you lightweight, natural-looking dewy coverage that hydrates skin for up to 24 hours. Smashbox Halo Healthy Glow Tinted Moisturizer is a breathable, oil-free formula that primes & perfects in one easy step. Details Benefits Formulated Without Primer-infused for all-day wear & a healthy glow, this SPF tinted moisturizer gives you lightweight, natural-looking dewy coverage that hydrates skin for up to 24 hours. Smashbox Halo Healthy Glow Tinted Moisturizer is a breathable, oil-free formula that primes & perfects in one easy step. Synthetic Fragrance, Phthalates, Oil, Parabens, Retinyl Palmitate, Talc, Mineral Oil, Alcohol, Formaldehyde, Hydroquinone, Triclosan, Triclocarban, Coal Tar, Lauryl Sulfate, Laureth Sulfate, Oxybenzone How To Use Shake well. Tap on with fingers & blend. Studio tip: Use it as a tinted primer by layering under powder or foundation. Use it with: The Original Photo Finish Smooth & Blur Primer Halo Healthy Glow 4-in-1 Concealer Blurring Foundation Brush","glowy/radiant finish, flattering/good shade match, good/buildable coverage, natural-looking finish, long-lasting wear, hydrating/non-drying, does not emphasize lines/wrinkles, gentle/non-irritating","heavy/thick feel, poor/insufficient coverage, shade/color mismatch or inaccurate photos, can cause breakouts, causes irritation/burning, patchy/streaky finish","sensitive skin, humid/hot weather, combination skin, covering blemishes/dark spots, everyday wear, mature skin, under-eye dark circles/brightening"
20,P0180,I am looking for a concealer,broad_or_underspecified,Bye Bye Under Eye Full Coverage Anti-Aging Waterproof Concealer,IT Cosmetics,Concealer,"Conscious Beauty at Ulta BeautyTM Give Back IT Cosmetics Bye Bye Under Eye Full Coverage Anti-Aging Waterproof Concealer is a 24H waterproof, full coverage concealer for dark circles and under eye bags. Details Benefits Features Key Ingredients Developed with plastic surgeons, IT Cosmetics Bye Bye Under Eye Full Coverage Anti-Aging Waterproof Concealer is your #1 best-selling* under-eye concealer for dark circles, dark spots and more. It provides flawless full coverage for up to 24 hours! *#1 concealer formula for IT Cosmetics brand in the US. Highly pigmented, full coverage concealer covers everything without creasing or cracking Cream concealer infused with proprietary Expression Proof Technology, peptides, antioxidants, hydrolyzed collagen, hyaluronic acid and vitamins Improves the appearance of wrinkles and effectively conceals the look of skin imperfections including dark circles, under eye bags, skin redness, hyperpigmentation, broken capillaries, age spots and other types of skin discoloration Longwear concealer - up to 24 hours of coverage Humidity-proof & waterproof Suitable for all skin types, even sensitive skin #1 Prestige Face Makeup Brand in the U.S. (Source: The NPD Group/ U.S. Prestige Beauty Total Measured Market, Makeup Brand Dollar Sales, January-November 2020) 93% say product provides full coverage** 86% say product corrects the look of imperfections** **Results observed in a consumer study Collagen: Skin-firming protein that supports skin elasticity for a youthfully smooth appearance Hyaluronic Acid: Attracts moisture, boosts elasticity and plumps the look of fine lines and wrinkles Peptides: Help reduce the appearance of wrinkles for smoother, firmer skin How To Use Warm a pinhead-size amount with your fingers and tap onto skin. Can also be worn as a foundation.","good/buildable coverage, flattering/good shade match, good value/affordable, long-lasting wear, resists smudging/transfer, does not emphasize lines/wrinkles, easy to apply/use, gentle/non-irritating, glowy/radiant finish, hydrating/non-drying","creases/settles into lines, heavy/thick feel, cakey finish, drying/emphasizes dry patches, oxidizes/changes color, too expensive/poor value, too shiny/glittery","under-eye dark circles/brightening, setting makeup, alone instead of foundation, everyday wear"
35,P0279,Contouring product that does not become patchy or fade quickly,problem_or_negative_constraint,Contour Palette,e.l.f. Cosmetics,Contouring,"Conscious Beauty at Ulta BeautyTM Vegan Cruelty Free Hey there, cheekbones! Highlight, bronze and emphasize your best features with the easy-to-use e.l.f. Cosmetics Contour Palette. Details Benefits Key Ingredients Formulated Without Compact quad of 4 powder bronzing shades Designed to sculpt, shade & brighten your complexion Powder formula with a satin finish Medium coverage Choose from multiple sets of shades Great for all skin types Perfect purse-size compact 100% vegan & cruelty-free Vitamin E delivers a boost of moisture Phthalates, parabens, nonylphenol ethoxylates, triclosan, triclocarban & hydroquinone How To Use Using the darker contour shades, apply color in areas where you wish to achieve a slimming effect; such as along the sides and beneath the tip of the nose, in the hollow of the cheeks, along the jawline, and along the hairline on the sides of your forehead. Use the matte brightening shade to add light, lift, and create defined angles on the top of the nose, chin, and center of the forehead. Use the highlighting shade on the top of the cheekbones, below the brow bone, on the cupid's bow, and on the temples for an illuminating glow.","blends easily, good value/affordable, natural-looking finish, strong pigmentation/color payoff","difficult to blend, can cause breakouts, difficult/messy application","bronzing/contouring, everyday wear, eyeshadow/eye looks, travel/on-the-go touch-ups"
8,P0204,Something that adds life to the face,broad_or_underspecified,Celebration Foundation Illumination,IT Cosmetics,Foundation,"Conscious Beauty at Ulta BeautyTM Clean Ingredients Give Back Celebration Foundation Illumination by IT Cosmetics gives you the ability to create a flawless, illuminized finish, all in less than 30 seconds! Details Features Benefits Gives you the ability to create a flawless, illuminized finish, all in less than 30 seconds! It's truly 30 seconds to full coverage and illumination to your skin! Anyone who wants a lit-from-within glow without the use of glitter or shimmer! Features the same good for you, skin loving ingredients you have come to know and love with original Celebration Foundation, such as hydrolyzed collagen, peptides, anti-oxidants and Drops of Light Technology, just to name a few. Skin-enhancing formula means less is more to achieve your desired level of buildable coverage. Talc free, paraben free, sodium lauryl sulfate free, mineral oil free, petrolatum free, synthetic fragrance free, phthalates free, cruelty free. #1 Prestige Face Makeup Brand in the U.S. (Source: The NPD Group/ U.S. Prestige Beauty Total Measured Market, Makeup Brand Dollar Sales, January-November 2020) How To Use Using the Heavenly Luxe Double Airbrush Foundation Brush Brush gently swirl circles into powder then sweep gently onto skin in circular motions to expertly distribute a natural look of luminization with a flawless, soft-focus, airbrush finish. Skin-enhancing formula means less is more to achieve your desired level of buildable coverage. Beauty tips: Buff in circular sweeping motions then downward and outward for natural looking application using the Heavenly Luxe Dual Airbrush Foundation/Concealer Brush or the Flat Top Foundation Brush. Carry this easy-to-use compact in your purse for easy touch-ups on the go!","good/buildable coverage, blends easily, long-lasting wear, glowy/radiant finish, lightweight feel, smooth/creamy texture","heavy/thick feel, difficult to blend, drying/emphasizes dry patches","everyday wear, rosacea/redness-prone skin, bronzing/contouring, cheeks/blush, covering blemishes/dark spots, humid/hot weather, mature skin, medium/olive skin tones"
42,P0573,Light-coverage tinted moisturizer with a dewy finish for dry skin,multiple_requirements,Kind Tint Tinted Serum,Pacifica,Tinted Moisturizer,"Conscious Beauty at Ulta BeautyTM Vegan Clean Ingredients Cruelty Free Sustainable Packaging Brand Give Back Skincare meets makeup in Pacifica's super-light Kind Tint Tinted Serum. Skin-loving vegan collagen, vitamin C and hyaluronic acid, plus a hint of coverage - just add you. Details Benefits Key Ingredients Formulated Without Breathable, ultra-thin tinted serum packed with skin loving ingredients to help your skin look & feel its best Kind coverage that lets YOU shine through - with a natural, dewy finish Clean formula 100% Vegan Cruelty-free Made with a 50% PCR (Post Consumer Recycled) plastic bottle & cap Vegan collagen Hyaluronic acid Vitamin C Niacinamide Caffeine Talc Parabens Phthalates Mineral oil How To Use Shake well before use. Can be applied sheer or layered.","natural-looking finish, blends easily, glowy/radiant finish, good value/affordable, good/buildable coverage, convenient packaging/applicator, flattering/good shade match, lightweight feel, long-lasting wear, matte finish/oil control","poor/insufficient coverage, difficult to blend, cakey finish, drying/emphasizes dry patches, patchy/streaky finish, shade/color mismatch or inaccurate photos, causes irritation/burning, creases/settles into lines, heavy/thick feel, poor longevity","alone instead of foundation, everyday wear, mature skin"
42,P0715,Light-coverage tinted moisturizer with a dewy finish for dry skin,multiple_requirements,Mini Tinted Moisturizer Natural Skin Perfector Broad Spectrum SPF 30,Laura Mercier,Tinted Moisturizer,"The Mini Tinted Moisturizer Natural Skin Perfector Broad Spectrum SPF 30 is Laura Mercier's skin-perfecting secret to a flawless, dewy, no-makeup-makeup look. This multitasking blend of skincare and makeup blurs imperfections, with a sheer hint of coverage. Details Benefits Key Ingredients Perfect your skin with a sheer hint of coverage for an effortless no-makeup makeup dewy finish The perfect blend of skincare & makeup improves your skin over time with a hydrating complex made up of Macadamia & Kukui seed oils that helps increase the skin's moisture levels long-term for 24 hours of hydration, while reducing the signs of visibly dry skin Lightweight formula, infused with Tamarind seed extract, helps skin retain moisture to prevent water evaporation, for long lasting hydration Broad Spectrum SPF 30 UVB/UVA sunscreen plus a power-blend of antioxidant vitamins C & E help protect skin from the damaging effects of the environment Macadamia & Kukui seed oils to support healthy skin function Tamarind seed extract to lock in moisture & give enhanced antioxidant protection Silica treated pigments helps create a soft focus effect for a naturally dewy finish Glycerin to soften fine lines, revitalizing hydration Vitamin complex of C & E to protect the skin from environmental agressors Broad spectrum SPF 30 UVA/UVB sunscreen for ideal protection from the sun's harmful, skin-damaging rays How To Use Place a small amount on the back of your hand and apply to face with a makeup sponge or with clean fingertips. Focus on one area at a time and blend well. For best results, use after your preferred Laura Mercier Foundation Primer (sold separately).","flattering/good shade match, natural-looking finish, glowy/radiant finish, good/buildable coverage, smooth/creamy texture, blends easily, easy to apply/use","difficult to blend, heavy/thick feel, too shiny/glittery","travel/on-the-go touch-ups, alone instead of foundation, covering blemishes/dark spots, mature skin"
35,P0902,Contouring product that does not become patchy or fade quickly,problem_or_negative_constraint,Pro Sculpt Concealer Palette,L.A. Girl,Contouring,"L.A. Girl Pro Sculpt Concealer Palette has a long lasting formula that enhances your best features. Includes 8 contouring shades. Details Features Key Ingredients Enhance + define with 8 creamy shades Contour, highlight & correct Skin loving ingredients like Shea butter & Vitamin E Cloudberry seed oil & camellia seed oil to help hydrate protect & soften skin",,"causes irritation/burning, creases/settles into lines",bronzing/contouring
20,P0843,I am looking for a concealer,broad_or_underspecified,Power Plush Longwear Concealer,KYLIE COSMETICS,Concealer,"Conscious Beauty at Ulta BeautyTM Vegan Clean Ingredients The Kylie Cosmetics Power Plush Longwear Concealer is a weightless, medium buildable liquid concealer that brightens, blurs, and smooths to a natural, satin finish. Its hydrating formula offers flexible and highly comfortable wear with a cushiony, soft feel for up to 12 hours. Details Benefits Features Weightless, breathable formula with medium buildable coverage Creamy texture blends seamlessly to a cushiony, soft-to-the-touch feel Brightens and color corrects under eye circles Covers blemishes, dark spots, and redness Blurs and smooths the look of pores, fine lines, and texture Provides long-lasting skin hydration that reinforces the skin barrier Offers up to 12 hours of undetectable wear with a very natural, satin finish Doesn't crease or settle into fine lines and doesn't look cakey Liquid concealer with a tapered doe foot applicator is perfect for precise application and hard-to-reach areas Contains Flex Form Properties for highly comfortable, flexible wear that moves with you Formulated with skincare ingredients: Panthenol (Pro-Vitamin B5), Rosa Flower Extract, Centella Asiatica, Vitamin E Sweat, humidity, and waterproof Clean**, vegan* and cruelty-free makeup, no fragrance added Formulated with no ingredients from animal origin How To Use Apply this Kylie concealer anywhere you want to brighten, conceal, or smooth. Swipe or dab the doe foot applicator on skin, then blend using the Kylie Concealer Brush - Brush 02. To conceal under eye circles and dark spots, choose a shade closest to your skin tone dependent on your shade level and undertones. To brighten, choose a shade lighter than your natural concealer shade. Apply to the high points of your face, anywhere you want to highlight. To bronze or contour, choose a shade darker than your concealer shade. To conceal a blemish, apply your natural shade of concealer on the blemish then let it sit for 1 minute before blending it out.","good/buildable coverage, smooth/creamy texture, long-lasting wear, flattering/good shade match, blends easily, lightweight feel, natural-looking finish, strong pigmentation/color payoff","creases/settles into lines, shade/color mismatch or inaccurate photos, cakey finish, heavy/thick feel, poor/insufficient coverage","oily skin, under-eye dark circles/brightening, acne-prone skin"
